Zipcode,City,State,Lat,Long,Population
77573,LEAGUE CITY,TX,29.48,-95.1,71580
28269,CHARLOTTE,NC,35.19,-80.83,71048
89110,LAS VEGAS,NV,36.17,-115.05,70994
93536,LANCASTER,CA,34.72,-118.48,70918
78577,PHARR,TX,26.18,-98.18,70840
77083,HOUSTON,TX,29.76,-95.38,70837
63376,SAINT PETERS,MO,38.77,-90.6,70828
77379,SPRING,TX,30.06,-95.38,70544
10457,BRONX,NY,40.84,-73.87,70496
92805,ANAHEIM,CA,33.82,-117.91,70401
77584,PEARLAND,TX,29.55,-95.27,70228
89108,LAS VEGAS,NV,36.21,-115.21,70123
91402,PANORAMA CITY,CA,34.22,-118.44,69817
7055,PASSAIC,NJ,40.85,-74.12,69816
92105,SAN DIEGO,CA,32.73,-117.08,69813
85225,CHANDLER,AZ,33.32,-111.82,69810
21234,PARKVILLE,MD,39.38,-76.55,69752
90262,LYNWOOD,CA,33.92,-118.2,69745
93274,TULARE,CA,36.18,-119.36,69721
45011,HAMILTON,OH,39.39,-84.56,69677
80013,AURORA,CO,39.69,-104.81,69588
94587,UNION CITY,CA,37.59,-122.06,69516
94110,SAN FRANCISCO,CA,37.74,-122.41,69333
94533,FAIRFIELD,CA,38.28,-122,69277
11209,BROOKLYN,NY,40.64,-73.94,68853
94536,FREMONT,CA,37.56,-121.98,68790
78660,PFLUGERVILLE,TX,30.44,-97.62,68789
11375,FOREST HILLS,NY,40.72,-73.84,68733
84118,SALT LAKE CITY,UT,40.65,-112.01,68295
99301,PASCO,WA,46.41,-118.9,68191
19120,PHILADELPHIA,PA,39.95,-75.16,68104
10463,BRONX,NY,40.84,-73.87,67970
92882,CORONA,CA,33.83,-117.6,67917
90026,LOS ANGELES,CA,34.07,-118.26,67869
10466,BRONX,NY,40.84,-73.87,67813
90631,LA HABRA,CA,33.94,-117.95,67619
30349,ATLANTA,GA,33.61,-84.49,67602
90022,LOS ANGELES,CA,34.02,-118.15,67179
33186,MIAMI,FL,25.77,-80.2,67137
11746,HUNTINGTON STATION,NY,40.84,-73.4,67094
11233,BROOKLYN,NY,40.64,-73.94,67053
47906,WEST LAFAYETTE,IN,40.44,-86.91,66972
97007,BEAVERTON,OR,45.44,-122.88,66954
95035,MILPITAS,CA,37.44,-121.87,66943
91730,RANCHO CUCAMONGA,CA,34.09,-117.58,66925
37042,CLARKSVILLE,TN,36.56,-87.34,66916
94558,NAPA,CA,38.55,-122.15,66830
29483,SUMMERVILLE,SC,33,-80.17,66731
19124,PHILADELPHIA,PA,39.95,-75.16,66691
11372,JACKSON HEIGHTS,NY,40.75,-73.88,66636
10469,BRONX,NY,40.84,-73.87,66631
60614,CHICAGO,IL,41.83,-87.68,66617
75228,DALLAS,TX,32.79,-96.76,66551
7087,UNION CITY,NJ,40.76,-74.03,66515
77095,HOUSTON,TX,29.76,-95.38,66502
10472,BRONX,NY,40.84,-73.87,66358
90003,LOS ANGELES,CA,33.96,-118.27,66266
30281,STOCKBRIDGE,GA,33.54,-84.24,66140
60657,CHICAGO,IL,41.83,-87.68,65996
60640,CHICAGO,IL,41.83,-87.68,65790
